"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
681,"2018-08-01 00:00:07.3210","2018-08-01 00:11:28.9920",3162,"W 78 St & Broadway",40.78339981,-73.98093133,3383,"Cathedral Pkwy & Broadway",40.804213,-73.96699104,27770,"Subscriber",1986,1
625,"2018-08-01 00:00:19.7480","2018-08-01 00:10:45.0290",3260,"Mercer St & Bleecker St",40.72706363348306,-73.99662137031554,2012,"E 27 St & 1 Ave",40.739445,-73.976806,25938,"Subscriber",1969,1
1319,"2018-08-01 00:00:21.1750","2018-08-01 00:22:20.6370",403,"E 2 St & 2 Ave",40.72502876,-73.99069656,285,"Broadway & E 14 St",40.73454567,-73.99074142,28679,"Subscriber",1970,1
220,"2018-08-01 00:00:26.4700","2018-08-01 00:04:06.8190",3637,"Fulton St & Waverly Ave",40.683238654603414,-73.96599590778351,399,"Lafayette Ave & St James Pl",40.68851534,-73.9647628,28075,"Subscriber",1982,1
398,"2018-08-01 00:00:30.2910","2018-08-01 00:07:09.2810",3662,"31 Ave & Steinway St",40.761293897289086,-73.916916847229,3517,"31 St & Hoyt Ave N",40.7711528,-73.9170074,25002,"Subscriber",1987,1
2839,"2018-08-01 00:01:02.7170","2018-08-01 00:48:22.0820",468,"Broadway & W 56 St",40.7652654,-73.98192338,3495,"E 114 St & 1 Ave",40.7945663,-73.9362541,32418,"Customer",1969,0
172,"2018-08-01 00:01:03.5340","2018-08-01 00:03:55.8740",515,"W 43 St & 10 Ave",40.76009437,-73.99461843,529,"W 42 St & 8 Ave",40.7575699,-73.99098507,31108,"Subscriber",1975,1
1133,"2018-08-01 00:01:04.0240","2018-08-01 00:19:57.2430",265,"Stanton St & Chrystie St",40.72229346,-73.99147535,3641,"Broadway & W 25 St",40.74286877312112,-73.98918628692627,28715,"Subscriber",1997,1
1417,"2018-08-01 00:01:18.0950","2018-08-01 00:24:55.4450",472,"E 32 St & Park Ave",40.7457121,-73.98194829,351,"Front St & Maiden Ln",40.70530954,-74.00612572,26991,"Subscriber",1994,1
195,"2018-08-01 00:01:19.6090","2018-08-01 00:04:35.4160",3151,"E 81 St & York Ave",40.7728384,-73.94989233,3156,"E 72 St & York Ave",40.76663814,-73.95348296,24969,"Subscriber",1993,1
1093,"2018-08-01 00:01:21.5350","2018-08-01 00:19:35.3670",432,"E 7 St & Avenue A",40.72621788,-73.98379855,3070,"McKibbin St & Manhattan Ave",40.70510918,-73.94407279,29398,"Customer",1989,1
711,"2018-08-01 00:01:23.3260","2018-08-01 00:13:14.7430",328,"Watts St & Greenwich St",40.72405549,-74.00965965,361,"Allen St & Hester St",40.71605866,-73.99190759,29180,"Subscriber",1972,1
1061,"2018-08-01 00:01:31.7270","2018-08-01 00:19:13.1710",3506,"Lexington Ave & E 120 St",40.8013066,-73.9398167,3350,"W 100 St & Broadway",40.7973721,-73.97041192,33272,"Subscriber",1965,1
281,"2018-08-01 00:01:40.6620","2018-08-01 00:06:22.3410",465,"Broadway & W 41 St",40.75513557,-73.98658032,442,"W 27 St & 7 Ave",40.746647,-73.993915,14633,"Subscriber",1988,2
255,"2018-08-01 00:01:44.9010","2018-08-01 00:06:00.5040",3660,"W 16 St & 8 Ave",40.741021509002664,-74.001384973526,3255,"8 Ave & W 31 St",40.7505853470215,-73.9946848154068,26097,"Subscriber",1985,1
810,"2018-08-01 00:01:47.9830","2018-08-01 00:15:18.3460",3142,"1 Ave & E 62 St",40.7612274,-73.96094022,507,"E 25 St & 2 Ave",40.73912601,-73.97973776,20193,"Subscriber",1990,2
804,"2018-08-01 00:01:56.2110","2018-08-01 00:15:20.4330",2010,"Grand St & Greene St",40.72165481,-74.00234737,285,"Broadway & E 14 St",40.73454567,-73.99074142,24918,"Subscriber",1990,1
681,"2018-08-01 00:01:54.5360","2018-08-01 00:13:16.1590",467,"Dean St & 4 Ave",40.68312489,-73.97895137,3673,"Dean St & Franklin Ave",40.67759206937376,-73.955637216568,20582,"Subscriber",1984,1
578,"2018-08-01 00:02:10.3260","2018-08-01 00:11:49.0890",336,"Sullivan St & Washington Sq",40.73047747,-73.99906065,445,"E 10 St & Avenue A",40.72740794,-73.98142006,20589,"Customer",1994,1
375,"2018-08-01 00:02:08.9410","2018-08-01 00:08:24.8370",3085,"Roebling St & N 4 St",40.71469,-73.95739,3083,"Bushwick Ave & Powers St",40.71247661,-73.94100005,25174,"Subscriber",1984,1
1000,"2018-08-01 00:02:10.1860","2018-08-01 00:18:50.4480",472,"E 32 St & Park Ave",40.7457121,-73.98194829,312,"Allen St & Stanton St",40.722055,-73.989111,27997,"Customer",1969,0
745,"2018-08-01 00:02:14.7610","2018-08-01 00:14:40.3280",498,"Broadway & W 32 St",40.74854862,-73.98808416,482,"W 15 St & 7 Ave",40.73935542,-73.99931783,32116,"Subscriber",1987,1
441,"2018-08-01 00:02:19.9000","2018-08-01 00:09:41.3540",438,"St Marks Pl & 1 Ave",40.72779126,-73.98564945,251,"Mott St & Prince St",40.72317958,-73.99480012,28238,"Subscriber",1982,1
382,"2018-08-01 00:02:21.4540","2018-08-01 00:08:44.3900",285,"Broadway & E 14 St",40.73454567,-73.99074142,540,"Lexington Ave & E 29 St",40.74311555376486,-73.98215353488922,26538,"Subscriber",1969,1
735,"2018-08-01 00:02:34.4290","2018-08-01 00:14:49.6000",474,"5 Ave & E 29 St",40.7451677,-73.98683077,479,"9 Ave & W 45 St",40.76019252,-73.9912551,20017,"Subscriber",1980,2
282,"2018-08-01 00:02:35.6500","2018-08-01 00:07:18.5230",3255,"8 Ave & W 31 St",40.7505853470215,-73.9946848154068,3660,"W 16 St & 8 Ave",40.741021509002664,-74.001384973526,30093,"Subscriber",1975,1
122,"2018-08-01 00:02:36.3220","2018-08-01 00:04:38.3670",236,"St Marks Pl & 2 Ave",40.7284186,-73.98713956,432,"E 7 St & Avenue A",40.72621788,-73.98379855,16517,"Subscriber",1954,1
622,"2018-08-01 00:02:43.9950","2018-08-01 00:13:06.5090",3690,"Park Pl & Church St",40.71334184275907,-74.00935515761375,401,"Allen St & Rivington St",40.72019576,-73.98997825,20371,"Subscriber",1974,1
356,"2018-08-01 00:02:46.9560","2018-08-01 00:08:43.3260",401,"Allen St & Rivington St",40.72019576,-73.98997825,2009,"Catherine St & Monroe St",40.71117444,-73.99682619,30892,"Subscriber",1973,1
261,"2018-08-01 00:02:51.3020","2018-08-01 00:07:13.1450",265,"Stanton St & Chrystie St",40.72229346,-73.99147535,326,"E 11 St & 1 Ave",40.72953837,-73.98426726,14992,"Subscriber",1960,1
1406,"2018-08-01 00:02:51.0700","2018-08-01 00:26:17.9140",3162,"W 78 St & Broadway",40.78339981,-73.98093133,297,"E 15 St & 3 Ave",40.734232,-73.986923,17292,"Subscriber",1989,2
1352,"2018-08-01 00:02:55.6740","2018-08-01 00:25:28.6170",3374,"Central Park North & Adam Clayton Powell Blvd",40.799484,-73.955613,422,"W 59 St & 10 Ave",40.770513,-73.988038,19613,"Subscriber",1979,1
394,"2018-08-01 00:03:08.9860","2018-08-01 00:09:43.4420",236,"St Marks Pl & 2 Ave",40.7284186,-73.98713956,301,"E 2 St & Avenue B",40.72217444,-73.98368779,27985,"Subscriber",1982,1
899,"2018-08-01 00:03:11.3320","2018-08-01 00:18:11.0840",435,"W 21 St & 6 Ave",40.74173969,-73.99415556,312,"Allen St & Stanton St",40.722055,-73.989111,21168,"Subscriber",1972,2
411,"2018-08-01 00:03:11.6710","2018-08-01 00:10:03.3300",236,"St Marks Pl & 2 Ave",40.7284186,-73.98713956,433,"E 13 St & Avenue A",40.72955361,-73.98057249,28955,"Subscriber",1986,1
528,"2018-08-01 00:03:15.7990","2018-08-01 00:12:04.4910",3285,"W 87 St & Amsterdam Ave",40.78839,-73.9747,3163,"Central Park West & W 68 St",40.7734066,-73.97782542,26451,"Subscriber",1999,1
203,"2018-08-01 00:03:18.7470","2018-08-01 00:06:42.6560",3093,"N 6 St & Bedford Ave",40.71745169,-73.95850939,2002,"Wythe Ave & Metropolitan Ave",40.716887,-73.963198,30983,"Subscriber",1985,2
734,"2018-08-01 00:03:19.6300","2018-08-01 00:15:34.5920",3472,"W 15 St & 10 Ave",40.742753828659026,-74.00747358798981,432,"E 7 St & Avenue A",40.72621788,-73.98379855,27261,"Subscriber",1969,0
940,"2018-08-01 00:03:23.5910","2018-08-01 00:19:03.7340",3466,"W 45 St & 6 Ave (OLD)",40.75668720603179,-73.98257732391357,514,"12 Ave & W 40 St",40.76087502,-74.00277668,20598,"Customer",1969,0
854,"2018-08-01 00:03:25.8160","2018-08-01 00:17:40.1560",3112,"Milton St & Franklin St",40.72906,-73.95779,3066,"Tompkins Ave & Hopkins St",40.69957608,-73.94708417,32401,"Subscriber",1990,1
385,"2018-08-01 00:03:37.1290","2018-08-01 00:10:02.1850",229,"Great Jones St",40.72743423,-73.99379025,358,"Christopher St & Greenwich St",40.73291553,-74.00711384,18129,"Subscriber",1985,1
2063,"2018-08-01 00:03:39.0740","2018-08-01 00:38:02.9880",276,"Duane St & Greenwich St",40.71748752,-74.0104554,3308,"Kane St & Clinton St",40.6861758,-73.99645295,19293,"Customer",1991,1
206,"2018-08-01 00:03:42.3750","2018-08-01 00:07:08.6100",401,"Allen St & Rivington St",40.72019576,-73.98997825,301,"E 2 St & Avenue B",40.72217444,-73.98368779,25516,"Subscriber",1991,1
190,"2018-08-01 00:03:47.0400","2018-08-01 00:06:57.5100",3453,"Devoe St & Lorimer St",40.71335226222875,-73.9491033554077,3077,"Stagg St & Union Ave",40.70877084,-73.95095259,20610,"Subscriber",1993,1
258,"2018-08-01 00:03:56.4750","2018-08-01 00:08:15.4520",436,"Hancock St & Bedford Ave",40.68216564,-73.95399026,364,"Lafayette Ave & Classon Ave",40.68900443,-73.96023854,32405,"Subscriber",1990,1
574,"2018-08-01 00:03:59.5200","2018-08-01 00:13:33.9570",336,"Sullivan St & Washington Sq",40.73047747,-73.99906065,2003,"1 Ave & E 18 St",40.733812191966315,-73.98054420948029,32165,"Subscriber",1993,1
714,"2018-08-01 00:03:35.1200","2018-08-01 00:15:29.2270",507,"E 25 St & 2 Ave",40.73912601,-73.97973776,3458,"W 55 St & 6 Ave",40.76309387270797,-73.9783501625061,28857,"Subscriber",1996,1
537,"2018-08-01 00:04:08.7180","2018-08-01 00:13:06.1190",3236,"W 42 St & Dyer Ave",40.75898481399634,-73.99379968643188,498,"Broadway & W 32 St",40.74854862,-73.98808416,31361,"Subscriber",1964,2
726,"2018-08-01 00:04:09.5400","2018-08-01 00:16:16.4240",3688,"2 Ave & E 55 St",40.757920208794026,-73.96638214588165,504,"1 Ave & E 16 St",40.73221853,-73.98165557,25734,"Subscriber",1992,1
542,"2018-08-01 00:04:11.6320","2018-08-01 00:13:13.6970",3419,"Douglass St & 4 Ave",40.6792788,-73.98154004,3558,"Bergen St & Vanderbilt Ave",40.6794388,-73.9680438,18054,"Subscriber",1989,1
402,"2018-08-01 00:04:14.3340","2018-08-01 00:10:56.7860",377,"6 Ave & Canal St",40.72243797,-74.00566443,327,"Vesey Pl & River Terrace",40.7153379,-74.01658354,29096,"Subscriber",1994,1
239,"2018-08-01 00:04:15.3870","2018-08-01 00:08:14.4560",3232,"Bond St & Fulton St",40.68962188790333,-73.98304268717766,310,"State St & Smith St",40.68926942,-73.98912867,21608,"Subscriber",1980,1
255,"2018-08-01 00:04:16.6260","2018-08-01 00:08:31.6460",438,"St Marks Pl & 1 Ave",40.72779126,-73.98564945,473,"Rivington St & Chrystie St",40.72110063,-73.9919254,27984,"Subscriber",1995,1
171,"2018-08-01 00:04:25.0450","2018-08-01 00:07:16.4260",3591,"21 St & 31 Dr",40.7659,-73.930819,3586,"34 Ave & 13 St",40.7638753,-73.9364848,29822,"Subscriber",1988,2
885,"2018-08-01 00:04:28.0580","2018-08-01 00:19:14.0280",3459,"E 53 St & 3 Ave",40.75763227739443,-73.96930575370789,3379,"E 103 St & Lexington Ave",40.7903051,-73.94755757,25823,"Customer",1989,1
927,"2018-08-01 00:04:37.4350","2018-08-01 00:20:04.9600",380,"W 4 St & 7 Ave S",40.73401143,-74.00293877,228,"E 48 St & 3 Ave",40.7546011026,-73.971878855,31097,"Subscriber",1993,1
1016,"2018-08-01 00:04:39.4880","2018-08-01 00:21:35.8860",2012,"E 27 St & 1 Ave",40.739445,-73.976806,2022,"E 60 St & York Ave",40.759107,-73.959223,31272,"Subscriber",1982,2
249,"2018-08-01 00:04:37.2920","2018-08-01 00:08:46.7310",223,"W 13 St & 7 Ave",40.73781509,-73.99994661,336,"Sullivan St & Washington Sq",40.73047747,-73.99906065,19606,"Subscriber",1994,1
433,"2018-08-01 00:04:38.9260","2018-08-01 00:11:52.7010",3534,"Frederick Douglass Blvd & W 117 St",40.805159,-73.954692,3551,"3 Ave & E 112 St",40.795508,-73.941606,18978,"Subscriber",1998,1
662,"2018-08-01 00:04:40.8090","2018-08-01 00:15:42.9140",167,"E 39 St & 3 Ave",40.7489006,-73.97604882,435,"W 21 St & 6 Ave",40.74173969,-73.99415556,16379,"Subscriber",1964,1
2004,"2018-08-01 00:04:41.9370","2018-08-01 00:38:05.9850",276,"Duane St & Greenwich St",40.71748752,-74.0104554,3308,"Kane St & Clinton St",40.6861758,-73.99645295,32453,"Subscriber",1973,1
1000,"2018-08-01 00:04:42.8130","2018-08-01 00:21:23.7050",2012,"E 27 St & 1 Ave",40.739445,-73.976806,2022,"E 60 St & York Ave",40.759107,-73.959223,20350,"Subscriber",1990,2
1704,"2018-08-01 00:04:46.1660","2018-08-01 00:33:10.9290",476,"E 31 St & 3 Ave",40.74394314,-73.97966069,505,"6 Ave & W 33 St",40.74901271,-73.98848395,18429,"Subscriber",1969,1
124,"2018-08-01 00:04:51.6400","2018-08-01 00:06:56.0000",3086,"Graham Ave & Conselyea St",40.715143,-73.944507,3095,"Graham Ave & Herbert St",40.71929301,-73.94500379,30721,"Subscriber",1989,1
1166,"2018-08-01 00:05:00.3340","2018-08-01 00:24:26.8770",3082,"Hope St & Union Ave",40.71167351,-73.95141312,243,"Fulton St & Rockwell Pl",40.688226,-73.979382,32843,"Customer",1990,1
1668,"2018-08-01 00:05:18.7110","2018-08-01 00:33:07.5200",146,"Hudson St & Reade St",40.71625008,-74.0091059,468,"Broadway & W 56 St",40.7652654,-73.98192338,17925,"Subscriber",1980,1
862,"2018-08-01 00:05:25.3230","2018-08-01 00:19:47.4520",336,"Sullivan St & Washington Sq",40.73047747,-73.99906065,306,"Cliff St & Fulton St_1",40.70823502,-74.00530063,29703,"Subscriber",1994,1
366,"2018-08-01 00:05:32.7610","2018-08-01 00:11:39.5210",3687,"E 33 St & 1 Ave",40.74322681432173,-73.97449783980846,491,"E 24 St & Park Ave S",40.74096374,-73.98602213,18218,"Subscriber",1963,1
1393,"2018-08-01 00:05:42.2010","2018-08-01 00:28:55.9710",3372,"E 74 St & 1 Ave",40.7689738,-73.95482273,450,"W 49 St & 8 Ave",40.76227205,-73.98788205,14670,"Subscriber",1987,1
1153,"2018-08-01 00:05:45.0730","2018-08-01 00:24:58.4100",460,"S 4 St & Wythe Ave",40.71285887,-73.96590294,3100,"Nassau Ave & Newell St",40.724812564400175,-73.94752621650696,19810,"Customer",1969,0
979,"2018-08-01 00:05:53.2600","2018-08-01 00:22:12.8360",460,"S 4 St & Wythe Ave",40.71285887,-73.96590294,3106,"Driggs Ave & N Henry St",40.72325,-73.94308,19684,"Customer",1969,0
640,"2018-08-01 00:06:13.0210","2018-08-01 00:16:53.7750",3379,"E 103 St & Lexington Ave",40.7903051,-73.94755757,3299,"E 98 St & Park Ave",40.78813,-73.95206,14875,"Subscriber",1981,1
804,"2018-08-01 00:06:13.4360","2018-08-01 00:19:38.0720",312,"Allen St & Stanton St",40.722055,-73.989111,3687,"E 33 St & 1 Ave",40.74322681432173,-73.97449783980846,27897,"Subscriber",1976,1
725,"2018-08-01 00:06:20.4900","2018-08-01 00:18:25.7370",476,"E 31 St & 3 Ave",40.74394314,-73.97966069,3632,"E 12 St & Avenue B",40.728048571362606,-73.97881150245667,17837,"Subscriber",1970,1
280,"2018-08-01 00:06:30.5160","2018-08-01 00:11:11.4880",3563,"28 St & 36 Ave",40.757186,-73.932719,3603,"31 Ave & 30 St",40.7647,-73.9240312,28881,"Subscriber",1968,1
404,"2018-08-01 00:06:33.3040","2018-08-01 00:13:17.9920",3507,"Park Ave & E 124 St",40.8045555,-73.9396861,3533,"St. Nicholas Ave & W 126 St",40.8114323,-73.9518776,33100,"Subscriber",1991,1
1305,"2018-08-01 00:06:37.9740","2018-08-01 00:28:23.2750",3166,"Riverside Dr & W 72 St",40.78057799010334,-73.98562431335449,3553,"Frederick Douglass Blvd & W 112 St",40.801694,-73.957145,16983,"Subscriber",1970,1
1229,"2018-08-01 00:06:44.2320","2018-08-01 00:27:14.2110",477,"W 41 St & 8 Ave",40.75640548,-73.9900262,497,"E 17 St & Broadway",40.73704984,-73.99009296,27783,"Subscriber",1975,1
515,"2018-08-01 00:06:46.4300","2018-08-01 00:15:22.3850",297,"E 15 St & 3 Ave",40.734232,-73.986923,394,"E 9 St & Avenue C",40.72521311,-73.97768752,16856,"Subscriber",1993,1
335,"2018-08-01 00:06:48.6980","2018-08-01 00:12:24.6430",217,"Old Fulton St",40.70277159,-73.99383605,3440,"Fulton St & Adams St",40.692418292578466,-73.98949474096298,28173,"Subscriber",1970,1
2179,"2018-08-01 00:07:15.5900","2018-08-01 00:43:35.0720",514,"12 Ave & W 40 St",40.76087502,-74.00277668,427,"Bus Slip & State St",40.701907,-74.013942,18825,"Customer",1983,1
277,"2018-08-01 00:07:15.5510","2018-08-01 00:11:52.8670",520,"W 52 St & 5 Ave",40.75992262,-73.97648516,173,"Broadway & W 49 St",40.76068327096592,-73.9845272898674,20935,"Subscriber",1953,1
892,"2018-08-01 00:07:18.3810","2018-08-01 00:22:11.1490",477,"W 41 St & 8 Ave",40.75640548,-73.9900262,3659,"W 17 St & 9 Ave",40.74294891660091,-74.00413691997528,19342,"Subscriber",1990,2
1026,"2018-08-01 00:07:19.2920","2018-08-01 00:24:25.8430",477,"W 41 St & 8 Ave",40.75640548,-73.9900262,3695,"E 5 St & 2 Ave",40.72686951528207,-73.98919031023979,33165,"Customer",1969,0
406,"2018-08-01 00:07:19.4110","2018-08-01 00:14:06.1250",3533,"St. Nicholas Ave & W 126 St",40.8114323,-73.9518776,3534,"Frederick Douglass Blvd & W 117 St",40.805159,-73.954692,32097,"Subscriber",1969,2
756,"2018-08-01 00:07:20.0870","2018-08-01 00:19:56.6370",3107,"Bedford Ave & Nassau Ave",40.72311651,-73.95212324,3091,"Frost St & Meeker St",40.71764,-73.94882,28757,"Customer",1990,2
215,"2018-08-01 00:07:34.5340","2018-08-01 00:11:09.5450",237,"E 11 St & 2 Ave",40.73047309,-73.98672378,403,"E 2 St & 2 Ave",40.72502876,-73.99069656,17439,"Subscriber",1993,1
298,"2018-08-01 00:07:41.5120","2018-08-01 00:12:39.6310",312,"Allen St & Stanton St",40.722055,-73.989111,236,"St Marks Pl & 2 Ave",40.7284186,-73.98713956,26921,"Subscriber",1970,1
1063,"2018-08-01 00:07:43.5950","2018-08-01 00:25:27.1850",3658,"W 18 St & 9 Ave",40.7435337324616,-74.00367558002472,445,"E 10 St & Avenue A",40.72740794,-73.98142006,29746,"Subscriber",1989,1
1483,"2018-08-01 00:07:46.3220","2018-08-01 00:32:29.8780",454,"E 51 St & 1 Ave",40.75455731,-73.96592976,3498,"Pleasant Ave & E 120 St",40.7974772,-73.9311847,30627,"Subscriber",1998,1
479,"2018-08-01 00:07:46.0320","2018-08-01 00:15:45.0540",504,"1 Ave & E 16 St",40.73221853,-73.98165557,518,"E 39 St & 2 Ave",40.74780373,-73.9734419,16309,"Subscriber",1995,1
412,"2018-08-01 00:08:23.3420","2018-08-01 00:15:16.3080",296,"Division St & Bowery",40.71413089,-73.9970468,3467,"W Broadway & Spring Street",40.72494672359416,-74.00165855884552,20586,"Subscriber",1997,1
166,"2018-08-01 00:08:25.4740","2018-08-01 00:11:11.5460",531,"Forsyth St & Broome St",40.71893904,-73.99266288,312,"Allen St & Stanton St",40.722055,-73.989111,26084,"Subscriber",1982,1
183,"2018-08-01 00:08:25.7020","2018-08-01 00:11:28.9960",531,"Forsyth St & Broome St",40.71893904,-73.99266288,312,"Allen St & Stanton St",40.722055,-73.989111,25076,"Subscriber",1988,2
834,"2018-08-01 00:08:38.9740","2018-08-01 00:22:33.3890",335,"Washington Pl & Broadway",40.72903917,-73.99404649,388,"W 26 St & 10 Ave",40.749717753,-74.002950346,33349,"Subscriber",1980,2
2063,"2018-08-01 00:08:52.0750","2018-08-01 00:43:15.6810",516,"E 47 St & 1 Ave",40.75206862,-73.96784384,3689,"W 104 St & Amsterdam Ave",40.799041392882984,-73.96649479866028,31286,"Subscriber",1984,1
387,"2018-08-01 00:09:05.3340","2018-08-01 00:15:32.3900",2003,"1 Ave & E 18 St",40.733812191966315,-73.98054420948029,3695,"E 5 St & 2 Ave",40.72686951528207,-73.98919031023979,14698,"Subscriber",1974,1
315,"2018-08-01 00:09:03.0290","2018-08-01 00:14:18.8240",3382,"Carroll St & Smith St",40.680611,-73.99475825,3408,"Congress St & Clinton St",40.6881529,-73.99520919,18730,"Subscriber",1980,2
239,"2018-08-01 00:09:09.3220","2018-08-01 00:13:08.9990",157,"Henry St & Atlantic Ave",40.69089272,-73.99612349,3388,"President St & Henry St",40.6828003,-73.99990419,19114,"Subscriber",1976,1
183,"2018-08-01 00:09:11.1440","2018-08-01 00:12:14.9900",127,"Barrow St & Hudson St",40.73172428,-74.00674436,3684,"W 12 St & W 4 St",40.73756121181137,-74.00398269295692,32976,"Subscriber",1969,2
